url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize values
http://www.myntra.com/men-accessories,"FILA\nUnisex Black Kindle Laptop Backpack\nRs. 1,899Rs. 1,234(35% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1507108/2016/9/26/11474868922033-FILA-Unisex-Black-Laptop-Backpack-8521474868921834-1_mini.jpg",FILA,Unisex Black Kindle Laptop Backpack,"Rs. 1,899","Rs. 1,234",(35% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Aristocrat\nUnisex Black & Maroon Backpack\nRs. 1,140Rs. 570(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1438553/2016/8/8/11470653707325-Aristocrat-Unisex-Black--Maroon-Backpack-5441470653706982-1_mini.jpg",Aristocrat,Unisex Black & Maroon Backpack,"Rs. 1,140",Rs. 570,(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"AMERICAN TOURISTER\nUnisex Black Elegance Small Trolley Bag\nRs. 5,590Rs. 2,515(55% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1399835/2016/6/29/11467182809269-AMERICAN-TOURISTER-Unisex-Luggage-Bags-2631467182809102-1_mini.jpg",AMERICAN TOURISTER,Unisex Black Elegance Small Trolley Bag,"Rs. 5,590","Rs. 2,515",(55% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"AMERICAN TOURISTER\nAMERICAN TOURISTER Unisex Purple & Blue Backpack\nRs. 1,250Rs. 750(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1469558/2016/9/21/11474460648102-AMERICAN-TOURISTERUnisex-Purple--Blue-Backpack-4691474460647319-1_mini.jpg",AMERICAN TOURISTER,AMERICAN TOURISTER Unisex Purple & Blue Backpack,"Rs. 1,250",Rs. 750,(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Wildcraft\nUnisex Black Printed Backpack\nRs. 1,799Rs. 1,079(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1293265/2016/4/28/11461840494722-WIldcraft-Unisex-Black-Printed-Backpack-8421461840494192-1_mini.jpg",Wildcraft,Unisex Black Printed Backpack,"Rs. 1,799","Rs. 1,079",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"CASIO\nEDIFICE EX209 EQB-500D-1ADR\nRs. 20,995\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/527255/2016/2/12/11455275168663-CASIO-Edifice-Men-Black-Dial-Chronograph-Watch-EX209-6651455275168225-1_mini.jpg",CASIO,EDIFICE EX209 EQB-500D-1ADR,,"Rs. 20,995",,Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Tommy Hilfiger\nUnisex Beige Laptop Backpack\nRs. 2,499Rs. 1,749(30% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493781/2016/9/15/11473933303497-Tommy-Hilfiger-Unisex-Beige-Laptop-Backpack-8101473933303088-1_mini.jpg",Tommy Hilfiger,Unisex Beige Laptop Backpack,"Rs. 2,499","Rs. 1,749",(30% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Skybags\nUnisex Navy & Red Backpack\nRs. 1,999Rs. 1,199(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1277518/2016/4/19/11461057774970-Skybags-Unisex-Navy--Red-Backpack-251461057774343-1_mini.jpg",Skybags,Unisex Navy & Red Backpack,"Rs. 1,999","Rs. 1,199",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Aristocrat\nUnisex Blue & Black Laptop Backpack\nRs. 1,520Rs. 760(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1417623/2016/9/19/11474274405204-Aristocrat-Unisex-Blue-Laptop-Backpack-3991474274404805-1_mini.jpg",Aristocrat,Unisex Blue & Black Laptop Backpack,"Rs. 1,520",Rs. 760,(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Roadster\nMen Brown Dial Watch RD13-B\nRs. 2,399Rs. 1,199(50% off)\nSizes: ONESIZE","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1487826/2016/10/28/11477652700154-Roadster-Men-Brown-Dial-Watch-RD13-B-2871477652699839-1_mini.jpg",Roadster,Men Brown Dial Watch RD13-B,"Rs. 2,399","Rs. 1,199",(50% off),Sizes: ONESIZE,ONESIZE
