url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize value
http://www.myntra.com/men-watches-wearables-menu,"Daniel Klein\nExclusive Men Gunmetal-Toned Dial Watch DK10939-4\nRs. 4,700Rs. 2,350(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1506777/2016/10/15/11476523801173-Daniel-Klein-Exclusive-Men-Gunmetal-Toned-Dial-Watch-DK10939-4-4811476523800961-1_mini.jpg",Daniel Klein,Exclusive Men Gunmetal-Toned Dial Watch DK10939-4,"Rs. 4,700","Rs. 2,350",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Fastrack\nMen Chronograph White Textured Analogue Watch 38007PP01J\nRs. 3,995Rs. 1,997(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493292/2016/9/23/11474616739831-Fastrack-Men-Chronograph-White-Textured-Analogue-Watch-38007PP01J-111474616739649-1_mini.jpg",Fastrack,Men Chronograph White Textured Analogue Watch 38007PP01J,"Rs. 3,995","Rs. 1,997",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Tommy Hilfiger\nMen Black Dial Watch TH1791163J\nRs. 12,995Rs. 7,797(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/971611/2015/10/26/11445839295256-Tommy-Hilfiger-Men-Black-Dial-Multifunction-Watch-TH1791163J-2501445839294806-1_mini.jpg",Tommy Hilfiger,Men Black Dial Watch TH1791163J,"Rs. 12,995","Rs. 7,797",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Sonata\nMen Orange Digital Watch 77026PP03J\nRs. 1,499Rs. 899(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1493408/2016/9/14/11473845985136-Sonata-Men-Watches-1231473845984992-1_mini.jpg",Sonata,Men Orange Digital Watch 77026PP03J,"Rs. 1,499",Rs. 899,(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Daniel Klein\nExclusive Men Black Dial Watch DK10928-2\nRs. 4,950Rs. 2,475(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1506770/2016/10/14/11476420511610-Daniel-Klein-Exclusive-Men-Black-Dial-Watch-DK10928-2-8011476420511352-1_mini.jpg",Daniel Klein,Exclusive Men Black Dial Watch DK10928-2,"Rs. 4,950","Rs. 2,475",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"U.S. Polo Assn.\nMen Silver-Toned Dial Watch USAT0073\nRs. 9,499Rs. 6,649(30% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1105352/2015/12/23/11450852529203-US-Polo-Assn-Men-Silver-Toned-Dial-Watch-USAT0073-7481450852528721-1_mini.jpg",U.S. Polo Assn.,Men Silver-Toned Dial Watch USAT0073,"Rs. 9,499","Rs. 6,649",(30% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Camerii\nMen Off-White Dial Watch WM193\nRs. 1,099Rs. 439(60% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1028299/2016/6/13/11465803433670-Camerii-Men-Off-White-Dial-Watch-WM193-9671465803433541-1_mini.jpg",Camerii,Men Off-White Dial Watch WM193,"Rs. 1,099",Rs. 439,(60% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Sonata\nMen Ocean Series Black Digital Watch 77041PP03J\nRs. 2,899Rs. 1,739(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1498258/2016/9/22/11474539164903-Sonata-Men-Ocean-Series-Black-Digital-Watch-77041PP03J-7561474539164739-1_mini.jpg",Sonata,Men Ocean Series Black Digital Watch 77041PP03J,"Rs. 2,899","Rs. 1,739",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Mast & Harbour\nUnisex White Analogue Watch MFB-PN-WTH-S945\nRs. 2,999Rs. 1,799(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1461461/2016/10/12/11476270013587-Mast--Harbour-Unisex-White-Analogue-Watch-MFB-PN-WTH-S945-8791476270013295-1_mini.jpg",Mast & Harbour,Unisex White Analogue Watch MFB-PN-WTH-S945,"Rs. 2,999","Rs. 1,799",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-watches-wearables-menu,"Daniel Klein\nExclusive Men Silver-Toned Dial Watch DK11053-6\nRs. 6,700Rs. 3,350(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1506815/2016/10/14/11476420587957-Daniel-Klein-Exclusive-Men-Silver-Toned-Dial-Watch-DK11053-6-7881476420587716-1_mini.jpg",Daniel Klein,Exclusive Men Silver-Toned Dial Watch DK11053-6,"Rs. 6,700","Rs. 3,350",(50% off),Sizes: Onesize,Onesize
