url,Description,Colour,Rating,Price ,Offers
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,WD My Passport Ultra 2 TB Wired External Hard Disk Drive,Black,4.5,₹6899\n₹7900\n12% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,HP X3500 Wireless Comfort Mouse,USB,4.3,₹699\n₹888\n21% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Toshiba Hayabusa 16 GB Pen Drive,White,4,₹350,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sony Micro Vault USM8M1/B 8 GB Pen Drive,Black,4,₹285\n₹305\n6% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Sony Micro Vault USM16GR 16 GB Pen Drive,White,3.9,₹379\n₹390\n2% off,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Envent ARCH Dual pairing Wireless Bluetooth Headset With Mic,Black,3.6,₹1599,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Toshiba Hayabusa 8 GB Pen Drive,White,4,₹250,Combo Offer
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Toshiba Canvio Basic 1 TB External Hard Disk,Black,4.2,₹4299\n₹5000\n14% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Altec Lansing MZW100 - Black Wireless Bluetooth Headset With Mic,Black,3.7,₹1999,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,boAt BassHeads 500 Wired Headset With Mic,Grey,3.9,₹899\n₹1499\n40% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,boAt BassHeads 500 Wired Headset With Mic,Blue,3.9,₹899\n₹1499\n40% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,TacGears TG-WM-6001 Wired Optical Mouse,"USB, White",3.3,₹159\n₹225\n29% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Logitech MK240 Wireless Keyboard and Mouse Combo,Black,4.4,₹1399\n₹1645\n14% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,HP X1000 Wired Optical,USB,4.2,₹275\n₹299\n8% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Seagate Backup Plus Slim 1 TB Wired External Hard Disk Drive with...,"Red, Mobile Backup Enabled",4.4,₹4599\n₹6999\n34% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,HP V236w 16 GB Pen Drive,Silver,4.1,₹479\n₹549\n12% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,Huion H610 Pro HUION-01 14.17 x 9.44 inch Graphics Tablet,,4.6,₹7990,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,boAt BassHeads 500 Wired Headset With Mic,Black,3.9,₹719\n₹1499\n52% off,
https://www.flipkart.com/laptop-accessories/pr?sid=6bo%2Cai3&otracker=nmenu_sub_Electronics_0_Computer%20Accessories,SanDisk Ultra USB 3.0 16 GB Pen Drive,Black,4.4,₹539\n₹947\n43% off,Combo Offer
