,Product link,Product link_link,Thumb image,Thumb image_alt,Brand value,Product value,Strike value,Price value,Discount value,Sizes value
,"Roadster\nGrey Melange & Navy Striped Hooded Sweatshirt\nRs. 1,499Rs. 1,049(30% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/roadster/roadster-grey-melange--navy-striped-hooded-sweatshirt/832752/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/832752/2015/10/12/11444647186228-Roadster-Men-Sweatshirts-9191444647185837-1_mini.jpg",Roadster Grey Melange & Navy Striped Hooded Sweatshirt,Roadster,Grey Melange & Navy Striped Hooded Sweatshirt,"Rs. 1,499","Rs. 1,049",(30% off),"Sizes: S, M, L, XL"
,"SPYKAR\nMen Lime Green & Black Checked Casual Shirt\nRs. 1,799Rs. 899(50% off)\nSizes: 40, 42, 44, 46",http://www.myntra.com/shirts/spykar/spykar-men-lime-green--black-checked-casual-shirt/403534/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/403534/2016/9/15/11473920071648-SPYKAR-Men-Lime-Green-Checked-Slim-Fit-Casual-Shirt-8071473920071321-1_mini.jpg",SPYKAR Men Lime Green & Black Checked Casual Shirt,SPYKAR,Men Lime Green & Black Checked Casual Shirt,"Rs. 1,799",Rs. 899,(50% off),"Sizes: 40, 42, 44, 46"
,"Flying Machine\nBlack Sweater\nRs. 1,899Rs. 949(50% off)\nSizes: S, M, XL, XXL",http://www.myntra.com/sweaters/flying-machine/flying-machine-black-sweater/1003771/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1003771/2016/10/28/11477636958197-Flying-Machine-Black-Sweater-721477636957628-1_mini.jpg",Flying Machine Black Sweater,Flying Machine,Black Sweater,"Rs. 1,899",Rs. 949,(50% off),"Sizes: S, M, XL, XXL"
,"HRX by Hrithik Roshan\nBrown Faux Leather Bomber Jacket\nRs. 3,999Rs. 3,199(20% off)\nSizes: M, L, XL, XXL",http://www.myntra.com/jackets/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-brown-faux-leather-bomber-jacket/1352655/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1352655/2016/9/14/11473835199658-HRX-by-Hrithik-Roshan-Brown-Bomber-Jacket-1801473835199340-1_mini.jpg",HRX by Hrithik Roshan Brown Faux Leather Bomber Jacket,HRX by Hrithik Roshan,Brown Faux Leather Bomber Jacket,"Rs. 3,999","Rs. 3,199",(20% off),"Sizes: M, L, XL, XXL"
,"Flying Machine\nGreen Hooded Camouflage Print Jacket\nRs. 3,999Rs. 2,399(40% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/jackets/flying-machine/flying-machine-green-hooded-camouflage-print-jacket/1003723/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1003723/2016/10/28/11477636485222-Flying-Machine-Green-Hooded-Camouflage-Print-Jacket-9991477636484835-1_mini.jpg",Flying Machine Green Hooded Camouflage Print Jacket,Flying Machine,Green Hooded Camouflage Print Jacket,"Rs. 3,999","Rs. 2,399",(40% off),"Sizes: S, M, L, XL, XXL"
,"WROGN\nGrey Melange Sweatshirt\nRs. 1,999Rs. 1,399(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweatshirts/wrogn/wrogn-grey-melange-sweatshirt/1427894/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1427894/2016/9/10/11473500877284-WROGN-Grey-Melange-Sweatshirt-4291473500877345-1_mini.jpg",WROGN Grey Melange Sweatshirt,WROGN,Grey Melange Sweatshirt,"Rs. 1,999","Rs. 1,399",(30% off),"Sizes: S, M, L, XL, XXL"
,"Antony Morato\nBlack Hooded Sweatshirt\nRs. 5,999Rs. 4,199(30% off)\nSizes: S, M, L, XL, XXL",http://www.myntra.com/sweatshirts/antony-morato/antony-morato-black-hooded-sweatshirt/1456688/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1456688/2016/8/17/11471433765399-Antony-Morato-Men-Sweatshirts-4741471433765212-1_mini.jpg",Antony Morato Black Hooded Sweatshirt,Antony Morato,Black Hooded Sweatshirt,"Rs. 5,999","Rs. 4,199",(30% off),"Sizes: S, M, L, XL, XXL"
,"Roadster\nBlack & Grey Colourblock Cardigan\nRs. 1,499Rs. 899(40% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweaters/roadster/roadster-black--grey-colourblock-cardigan/1284593/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1284593/2016/7/28/11469695607045-Roadster-Black--Grey-Colourblocked-Sweater-1591469695606779-1_mini.jpg",Roadster Black & Grey Colourblock Cardigan,Roadster,Black & Grey Colourblock Cardigan,"Rs. 1,499",Rs. 899,(40% off),"Sizes: S, M, L, XL"
,"Roadster\nBlack Hooded Bomber Jacket\nRs. 2,199Rs. 1,319(40% off)\nSizes: M, L, XL, XXL",http://www.myntra.com/jackets/roadster/roadster-black-hooded-bomber-jacket/1378291/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1378291/2016/9/19/11474273713971-Roadster-Black-Hooded-Bomber-Jacket-7651474273713681-1_mini.jpg",Roadster Black Hooded Bomber Jacket,Roadster,Black Hooded Bomber Jacket,"Rs. 2,199","Rs. 1,319",(40% off),"Sizes: M, L, XL, XXL"
,"Campus Sutra\nNavy Sweatshirt\nRs. 1,899Rs. 949(50% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/campus-sutra/campus-sutra-navy-sweatshirt/886021/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/886021/Campus-Sutra-Navy-Sweatshirt_1_35709b1e08f07701fcae332506f46b5a_mini.jpg",Campus Sutra Navy Sweatshirt,Campus Sutra,Navy Sweatshirt,"Rs. 1,899",Rs. 949,(50% off),"Sizes: S, M, L, XL"
,"Moda Rapido\nNavy & Grey Colourblocked Sweatshirt\nRs. 999\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/moda-rapido/moda-rapido-navy--grey-colourblocked-sweatshirt/1492658/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1492658/2016/10/2/11475397737225-Moda-Rapido-Navy--Grey-Colourblocked-Sweatshirt-5131475397737065-1_mini.jpg",Moda Rapido Navy & Grey Colourblocked Sweatshirt,Moda Rapido,Navy & Grey Colourblocked Sweatshirt,,Rs. 999,,"Sizes: S, M, L, XL"
,"Puma\nBlack Hero FZ Hooded Sweatshirt\nRs. 2,999Rs. 2,099(30% off)\nSizes: XS, S, M, L, XL, XXL",http://www.myntra.com/sweatshirts/puma/puma-black-hero-fz-hooded-sweatshirt/1483744/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1483744/2016/10/21/11477047366668-Puma-Men-Jackets-2311477047366454-1_mini.jpg",PUMA Black Hero FZ Hooded Sweatshirt,Puma,Black Hero FZ Hooded Sweatshirt,"Rs. 2,999","Rs. 2,099",(30% off),"Sizes: XS, S, M, L, XL, XXL"
,"Roadster\nNavy Hooded Sweatshirt\nRs. 1,299Rs. 909(30% off)\nSizes: S, M, L, XL",http://www.myntra.com/sweatshirts/roadster/roadster-navy-hooded-sweatshirt/833193/buy?src=search,"http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/833193/2015/11/26/11448524860261-Roadster-Men-Sweatshirts-4571448524859839-1_mini.jpg",Roadster Navy Hooded Sweatshirt,Roadster,Navy Hooded Sweatshirt,"Rs. 1,299",Rs. 909,(30% off),"Sizes: S, M, L, XL"
