url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes description
http://www.myntra.com/men-bottomwear,"Mast & Harbour\nBlue Washed Skinny Fit Jeans\nRs. 1,899Rs. 1,139(40% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1243268/2016/6/3/11464925143301-Mast--Harbour-Blue-Washed-Skinny-Fit-Jeans-6691464925142958-1_mini.jpg",Mast & Harbour,Blue Washed Skinny Fit Jeans,"Rs. 1,899","Rs. 1,139",(40% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"U.S. Polo Assn.\nNavy Slim Tapered Fit Jeans\nRs. 4,099Rs. 2,459(40% off)\nSizes: 28, 30, 32, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1142152/2016/6/14/11465901841490-US-Polo-Assn-Navy-Slim-Tapered-Fit-Jeans-9771465901841184-1_mini.jpg",U.S. Polo Assn.,Navy Slim Tapered Fit Jeans,"Rs. 4,099","Rs. 2,459",(40% off),"Sizes: 28, 30, 32, 34, 36, 38"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Grey Flat-Front Casual Trousers\nRs. 1,399Rs. 979(30% off)\nSizes: 28, 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1327262/2016/9/1/11472707769856-Roadster-Men-Grey-Solid-Regular-Fit-Flat-Front-Trousers-211472707769675-1_mini.jpg",Roadster,Men Grey Flat-Front Casual Trousers,"Rs. 1,399",Rs. 979,(30% off),"Sizes: 28, 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Hubberholme\nMen Carcoal Grey Slim Clean Look Stretchable Jeans\nRs. 999Rs. 599(40% off)\nSizes: 30, 32, 34, 36, 38, 40, 42","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1443858/2016/8/29/11472475372720-Hubberholme-Men-Grey-Slim-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-3261472475372526-1_mini.jpg",Hubberholme,Men Carcoal Grey Slim Clean Look Stretchable Jeans,Rs. 999,Rs. 599,(40% off),"Sizes: 30, 32, 34, 36, 38, 40, 42"
http://www.myntra.com/men-bottomwear,"French Connection\nMen Maroon Chinos Trousers\nRs. 3,699Rs. 1,479(60% off)\nSizes: 30, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/643479/2016/9/19/11474264503369-French-Connection-Men-Maroon-Trousers-4751474264503160-1_mini.jpg",French Connection,Men Maroon Chinos Trousers,"Rs. 3,699","Rs. 1,479",(60% off),"Sizes: 30, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"HRX by Hrithik Roshan\nNavy Melange Active Track Pants\nRs. 2,299Rs. 1,379(40% off)\nSizes: S, M, L, XL","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1128649/2016/6/6/11465192888029-HRX-by-Hrithik-Roshan-Navy-Melange-Active-Track-Pants-5161465192887791-1_mini.jpg",HRX by Hrithik Roshan,Navy Melange Active Track Pants,"Rs. 2,299","Rs. 1,379",(40% off),"Sizes: S, M, L, XL"
http://www.myntra.com/men-bottomwear,"FILA\nNavy TYRA Track Pants\nRs. 1,399Rs. 979(30% off)\nSizes: S, M, L, XL, XXL","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1502691/2016/10/2/11475403275937-FILA-Navy-TYRA-Track-Pants-151475403275670-1_mini.jpg",FILA,Navy TYRA Track Pants,"Rs. 1,399",Rs. 979,(30% off),"Sizes: S, M, L, XL, XXL"
http://www.myntra.com/men-bottomwear,"Roadster\nMen Blue Slim Fit Mid-Rise Jeans\nRs. 1,799Rs. 1,259(30% off)\nSizes: 28, 32, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1472324/2016/9/1/11472717153576-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Mildly-Distressed-Jeans-6951472717153296-1_mini.jpg",Roadster,Men Blue Slim Fit Mid-Rise Jeans,"Rs. 1,799","Rs. 1,259",(30% off),"Sizes: 28, 32, 34, 36"
http://www.myntra.com/men-bottomwear,"Mast & Harbour\nBlack Slim Fit Chino Trousers\nRs. 2,499Rs. 1,499(40% off)\nSizes: 28, 30, 34, 36","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1262958/2016/8/1/11470029564856-Mast--Harbour-Black-Slim-Fit-Chino-Trousers-951470029554926-1_mini.jpg",Mast & Harbour,Black Slim Fit Chino Trousers,"Rs. 2,499","Rs. 1,499",(40% off),"Sizes: 28, 30, 34, 36"
http://www.myntra.com/men-bottomwear,"Celio\nMen Blue Skinny Fit Mid-Rise Clean Look Jeans\nRs. 2,499Rs. 1,749(30% off)\nSizes: 30, 32, 33, 34, 36, 38","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1513808/2016/10/15/11476518396384-Celio-Men-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Jeans-3351476518395983-1_mini.jpg",Celio,Men Blue Skinny Fit Mid-Rise Clean Look Jeans,"Rs. 2,499","Rs. 1,749",(30% off),"Sizes: 30, 32, 33, 34, 36, 38"
